Category,Category2,Category3,Manufacturer,Product Name,ASIN Code,Description,Image URL,Price,J.Discount Price,K.Stock,L.Tax,M.Status,N.URL,O.Point,P.Point Type,Q.Related Item,R.Related Item,S.Cross Sell,T.Meta Key Words,U.Meta Description,V.Delete Key,W.Cost,X.Price2,Y.Tag,Z.Shipping Fee
Toys & Games,Action Fugures,,Griffin,Griffon Voice Collection!: Bikini & Sofa Version Super Sonico PVC Figure,B00G4T4Y80,"From Griffon. The first figure in Griffon Enterprises' new Voice Collection. is the fan-favorite Super Sonico mascot. What sets apart the Voice Collection. figures is their built-in sound chip that comes pre-loaded with 5 sound clips. Measuring approximately 6"", this figure of the mascot of Nitroplus and her cat includes a button on the base that triggers multiple sayings.",41hiM2BT7--L.jpg/41bNFPUGYrL.jpg/41QiucMH2BPL.jpg/310cDgO6mDL.jpg/41BY9gdfVDL.jpg/41VrcqaKuOL.jpg/41TfO7N7BzL.jpg,100,,100,,1,http://www.amazon.com/Griffon-Voice-Collection-Bikini-Version/dp/B00G4T4Y80/ref=sr_1_1?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-1&keywords=Japan+import&tag=myhawa07-20,0.72,2,,,,Toys & Games/Griffon Voice Collection!: Bikini & Sofa Version Super Sonico PVC Figure/Griffin,"From Griffon. The first figure in Griffon Enterprises' new Voice Collection. is the fan-favorite Super Sonico mascot. What sets apart the Voice Collection. figures is their built-in sound chip that comes pre-loaded with 5 sound clips. Measuring approximately 6"", this figure of the mascot of Nitroplus and her cat includes a button on the base that triggers multiple sayings.",,,,,
Toys & Games,Action Fugures,,Max Factory,"Max Factory Horizon on the Middle of Nowhere ""Tomo Asama"" (Japan Import)",B008HV0A86,This great 1/8-scale PVC statue stands approx. 20 tall and comes packed in a classic window box.,41jQxrcSjKL.jpg/61iiuLirQTL.jpg/519E-6U32tL.jpg/51q7u4R2ssL.jpg/51O6sT5VzsL.jpg/51GcI2BsO0uL.jpg/511-CDdVi7L.jpg,82,,100,,1,http://www.amazon.com/Max-Factory-Horizon-Middle-Nowhere/dp/B008HV0A86/ref=sr_1_2?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-2&keywords=Japan+import&tag=myhawa07-20,0.99,2,,,,"Toys & Games/Max Factory Horizon on the Middle of Nowhere ""Tomo Asama"" (Japan Import)/Max Factory",This great 1/8-scale PVC statue stands approx. 20 tall and comes packed in a classic window box.,,,,,
Toys & Games,Action Fugures,,Fate/Zero,"Fate/ZERO ""ex:ride Spride.05 : Saber Motored Cuirassier"" (Japan Import)",B0087DDS0Q,"Product FeaturesHigh Quality PVC & ABS Figure of ex:ride Spride.05 : Saber Motored CuirassierStand Approx. 220mmProduct DescriptionRiding in from Fate/Zero is Saber's Motored Cuirassier, this time scaled perfectly for Figmas! Just as it was in the anime, this motorcycle is simply amazing, and you can't possibly have the Saber Zero Figma without it! This special ex:ride vehicle is scaled to fit any Figma, so others in your collection can take this bad boy for a spin. Order yours today!",51vt19F-xiL.jpg/51DfXyanYxL.jpg/51vHIQZMwtL.jpg/51-jggOhDRL.jpg/51cY1w8ZW1L.jpg/51C5SJwarbL.jpg/,54.94,,100,,1,http://www.amazon.com/Fate-ZERO-Spride-05-Motored-Cuirassier/dp/B0087DDS0Q/ref=sr_1_3?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-3&keywords=Japan+import&tag=myhawa07-20,0.9,2,,,,"Toys & Games/Fate/ZERO ""ex:ride Spride.05 : Saber Motored Cuirassier"" (Japan Import)/Fate/Zero","Product FeaturesHigh Quality PVC & ABS Figure of ex:ride Spride.05 : Saber Motored CuirassierStand Approx. 220mmProduct DescriptionRiding in from Fate/Zero is Saber's Motored Cuirassier, this time scaled perfectly for Figmas! Just as it was in the anime, this motorcycle is simply amazing, and you can't possibly have the Saber Zero Figma without it! This special ex:ride vehicle is scaled to fit any Figma, so others in your collection can take this bad boy for a spin. Order yours today!",,,,,
Toys & Games,Action Fugures,,Good Smile,Good Smile Idolmaster Hibiki Ganaha PVC Figure,B00EDY3XAS,"From Phat! Company/Good Smile Company! ""Everything will all work out!"" From the anime series Idolmatster comes a 1/8th scale figure of the lively idol from Okinawa, Hibiki Ganaha! The figure is a faithful conversion of the illustration found on the sixth volume of the Blu-ray and DVD, originally illustrated by Director Atsushi Nishigori. Her close family member Hamuzo is also included with the figure! It's a dynamic figure overflowing with Hibiki's energetic and cheerful personality!",41iGod7qcPL.jpg/51sPlH8eDiL.jpg/512BpGEGglSL.jpg/5129u2BTVhhL.jpg/51BNDxaiV4L.jpg//41iGod7qcPL.jpg,112.44,,100,,1,http://www.amazon.com/Good-Smile-Idolmaster-Hibiki-Ganaha/dp/B00EDY3XAS/ref=sr_1_4?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-4&keywords=Japan+import&tag=myhawa07-20,0.45,2,,,,Toys & Games/Good Smile Idolmaster Hibiki Ganaha PVC Figure/Good Smile,"From Phat! Company/Good Smile Company! ""Everything will all work out!"" From the anime series Idolmatster comes a 1/8th scale figure of the lively idol from Okinawa, Hibiki Ganaha! The figure is a faithful conversion of the illustration found on the sixth volume of the Blu-ray and DVD, originally illustrated by Director Atsushi Nishigori. Her close family member Hamuzo is also included with the figure! It's a dynamic figure overflowing with Hibiki's energetic and cheerful personality!",,,,,
Toys & Games,Action Fugures,,Takara Tomy,"Takara Tomy Transformers Masterpieces MP-13 ""Soundwave"" (Japan Import)",B008B403VS,MP-13 Masterpiece Soundwave includes Laserbeak and being capable of carrying up to 3 cassettes! A great modern remake of the vintage G1 figure Soundwave!,41IrPwsC03L.jpg/5195t2zAcdL.jpg/51deXSjvPNL.jpg/51FLCjrNtnL.jpg/51kr1g5kLvL.jpg/510J412dk1L.jpg/51nfdR4o6OL.jpg,149.8,,100,,1,http://www.amazon.com/Takara-Tomy-Transformers-Masterpieces-Soundwave/dp/B008B403VS/ref=sr_1_5?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-5&keywords=Japan+import&tag=myhawa07-20,3.15,2,,,,"Toys & Games/Takara Tomy Transformers Masterpieces MP-13 ""Soundwave"" (Japan Import)/Takara Tomy",MP-13 Masterpiece Soundwave includes Laserbeak and being capable of carrying up to 3 cassettes! A great modern remake of the vintage G1 figure Soundwave!,,,,,
Toys & Games,Action Fugures,,Bandai,"BANDAI Saint Seiya Myth Cloth EX ""Sagittarius Aiolos"" (Japan Import)",B007QR964G,Saint Seiya Saint Cloth Myth EX Sagittarius Aiolos Action Figure,514-nF6ltLL.jpg/51VIJDXwBKL.jpg/41q2ZdbkpcL.jpg/415-uRrrgML.jpg/51ZYHaeQ-eL.jpg/41vG3XeUa5L.jpg/41SgXvcGolL.jpg,84.99,,100,,1,http://www.amazon.com/BANDAI-Saint-Sagittarius-Aiolos-Import/dp/B007QR964G/ref=sr_1_6?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-6&keywords=Japan+import&tag=myhawa07-20,0.675,2,,,,"Toys & Games/BANDAI Saint Seiya Myth Cloth EX ""Sagittarius Aiolos"" (Japan Import)/Bandai",Saint Seiya Saint Cloth Myth EX Sagittarius Aiolos Action Figure,,,,,
Toys & Games,Action Fugures,,Good Smile Company,Good Smile Company Nendoroid Bodacious Space Pirates Marika Kato (Japan Import),B008CJZZ9M,From the manga 'Bodacious Space Pirates' comes this highly detailed action figure of Marika Kato. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,51c4oCiZHXL.jpg/51yGwYMjtML.jpg/51WuDbIlf-L.jpg/51JgMEpDzUL.jpg/51xcqUA2BuzL.jpg/515ApzZbu0L.jpg/51jTSuofFqL.jpg,46.87,,100,,1,http://www.amazon.com/Good-Smile-Company-Nendoroid-Bodacious/dp/B008CJZZ9M/ref=sr_1_7?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-7&keywords=Japan+import&tag=myhawa07-20,0.45,2,,,,Toys & Games/Good Smile Company Nendoroid Bodacious Space Pirates Marika Kato (Japan Import)/Good Smile Company,From the manga 'Bodacious Space Pirates' comes this highly detailed action figure of Marika Kato. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,,,,,
Toys & Games,Action Fugures,,Animewild,Good Smile Company Nendoroid DOG DAYS Ricotta Elmar (Japan Import),B008JXH17U,From the popular anime series 'Dog Days' comes this highly detailed action figure of Ricotta Elmar. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,41dBtD9bYDL.jpg/41AcBitVzaL.jpg/51NzEQtmpDL.jpg/51ANwKGxi9L.jpg/41wng3Ar7dL.jpg//41dBtD9bYDL.jpg,39.9,,100,,1,http://www.amazon.com/Smile-Company-Nendoroid-Ricotta-Import/dp/B008JXH17U/ref=sr_1_8?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-8&keywords=Japan+import&tag=myhawa07-20,5.04,2,,,,Toys & Games/Good Smile Company Nendoroid DOG DAYS Ricotta Elmar (Japan Import)/Animewild,From the popular anime series 'Dog Days' comes this highly detailed action figure of Ricotta Elmar. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,,,,,
Toys & Games,Action Fugures,,Griffin,Griffon Majikoi: Benkei Musashibiou PVC Figure,B00F08PLHE,"From Griffon Enterprises. The highly skilled transfer student to Kawakami Academy comes equipped with her signature staff and stands nearly 8"" tall.",31LeS4SF5xL.jpg/410aTavq6KL.jpg/41lOolPbR3L.jpg/41Ryzv0CkyL.jpg/41JCTMVSJHL.jpg/41ELTNe2NdL.jpg/41CU4wKg9VL.jpg,45.5,,100,,1,http://www.amazon.com/Griffon-Majikoi-Benkei-Musashibiou-Figure/dp/B00F08PLHE/ref=sr_1_9?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-9&keywords=Japan+import&tag=myhawa07-20,5.985,2,,,,Toys & Games/Griffon Majikoi: Benkei Musashibiou PVC Figure/Griffin,"From Griffon Enterprises. The highly skilled transfer student to Kawakami Academy comes equipped with her signature staff and stands nearly 8"" tall.",,,,,
Toys & Games,Action Fugures,,Max Factory,"Max Factory Nisemonogatari figma No. 156 ""Tsukihi Araragi"" (Japan Import)",B008JXH19S,From the anime 'Nisemonogatari' comes this highly detailed and super posable action figure of Tsukihi Araragi. The figure from Max Factory's amazing 'figma' series stands approx. 14 cm tall and comes with accessories and figure stand.,31KPgBy9ueL.jpg/41PZNI9iZqL.jpg/41iGRqFbF2BL.jpg/41auHQ8VyaL.jpg/41uy38fDQgL.jpg/41mcTUopgML.jpg/51CNu-zBElL.jpg,40.72,,100,,1,http://www.amazon.com/Max-Factory-Nisemonogatari-Tsukihi-Araragi/dp/B008JXH19S/ref=sr_1_11?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-11&keywords=Japan+import&tag=myhawa07-20,3.24,2,,,,"Toys & Games/Max Factory Nisemonogatari figma No. 156 ""Tsukihi Araragi"" (Japan Import)/Max Factory",From the anime 'Nisemonogatari' comes this highly detailed and super posable action figure of Tsukihi Araragi. The figure from Max Factory's amazing 'figma' series stands approx. 14 cm tall and comes with accessories and figure stand.,,,,,
Toys & Games,Action Fugures,,Bandai,"BANDAI Saint Seiya Myth Cloth EX ""Virgo Shaka"" (Japan Import)",B0087JD28I,"The advanced Saint Cloth Myth EX series continues with the highly anticipated release of Virgo Shaka! Portraying the character in exquisite detail this set will feature an additional four facial expression parts as well as two breast plates for an increased range of display potential- allowing for display focus on the characters silhouette or prioritizing articulation to pose with raised arms. Six sets interchangeable hand parts, two types of interchangeable clasped hand parts for use with meditative poses, Buddhist prayer beads, parts for assembly of object frame, and cape are also included.",41An36Fw-UL.jpg/41eXI-vG2BzL.jpg/41Sf9P0kHKL.jpg/41vz7FQFvpL.jpg/41grJ6UimKL.jpg/419ek2BziXXL.jpg/41rza2BAzJDL.jpg,190,,100,,1,http://www.amazon.com/BANDAI-Saint-Seiya-Cloth-Import/dp/B0087JD28I/ref=sr_1_12?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-12&keywords=Japan+import&tag=myhawa07-20,1.8,2,,,,"Toys & Games/BANDAI Saint Seiya Myth Cloth EX ""Virgo Shaka"" (Japan Import)/Bandai","The advanced Saint Cloth Myth EX series continues with the highly anticipated release of Virgo Shaka! Portraying the character in exquisite detail this set will feature an additional four facial expression parts as well as two breast plates for an increased range of display potential- allowing for display focus on the characters silhouette or prioritizing articulation to pose with raised arms. Six sets interchangeable hand parts, two types of interchangeable clasped hand parts for use with meditative poses, Buddhist prayer beads, parts for assembly of object frame, and cape are also included.",,,,,
